steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
7140000	4957577	22071.05762219429	2.1188850279274636	2.3509478279135863	1.8826079460838048	4.474839385234434	-0.04651602888570057	2.4628571593605564	0.12665959228801893	7090
7150000	4964443	22101.784650087357	2.105045267166186	2.374558524832767	1.639677164415512	4.475260536706699	-0.320875950587763	2.4118378669871707	0.12918747710916711	7100
7160000	4971141	22132.467625141144	2.0911146565249186	1.3277005007280482	2.1652160889246392	4.474873851562106	-0.04785737564300979	2.3677393244276335	0.1273486700939948	7110
7170000	4977681	22163.113664865494	1.373327598885104	0.2786820939294165	1.8989922877583754	4.474267218032307	-0.31537729949284943	2.474955054299984	0.1296864010951537	7120
7180001	4984220	22193.877517223358	2.3664851145591914	2.375815538912809	2.2227690570320027	4.47535884151505	0.18794644720513698	2.4823443439201873	0.12934305062036316	7131
7190001	4991042	22224.769016504288	2.2685253615406284	2.3766167379637375	2.1089036260631464	4.47484955285622	-0.2520576480077752	2.3487044800958556	0.1259992869832745	7141
7200000	4998133	22255.683696508408	2.552165751029832	2.3758568554929687	1.6034170681338047	4.4749766855164985	-0.04651602888570057	2.5229844801201957	0.1275064889714102	7150
7210000	5005188	22286.65844655037	2.788388505129878	2.3752640809491994	1.3263631394865099	4.47497868592843	0.27936067957029265	2.350180748411072	0.12821558887474452	7160
7220000	5012281	22317.667986154556	1.6517667239733285	1.3038721395791941	1.8024830171045687	4.47511267887619	-0.2224392428826017	2.3382710226550776	0.1238709693565055	7170
7230002	5019321	22348.56020975113	1.2237473343805305	0.2729152383227235	1.861931647349535	4.475799847238633	-0.22748188262747668	2.404260132352428	0.12971360227194265	7181
7240000	5026108	22379.25195837021	2.2839443780077633	2.3716470060331467	2.3080791059364465	4.475383684877346	-0.12505594019493688	2.3408869440022473	0.12757936373154616	7190
7250000	5032888	22410.022488832474	2.2972610187813047	2.323130128423718	1.800582931579447	4.475383684877346	-0.23143501082554646	2.313972599907373	0.13330524067347296	7200
7260000	5039812	22440.78089618683	1.308636389887919	0.2780730118295589	1.4995118667327858	4.4747761618512	0.09849786327496804	2.2990432168004644	0.1288682534957775	7210
7270000	5047178	22471.739227294922	1.295460535975264	1.3267917276952113	1.1420556132521833	2.3766073935599663	-0.025049627372193913	2.2411105073846183	0.12758633098117478	7220
7280000	5054808	22502.837346076965	0.9359824808169609	0.22959330753003387	1.593434825562575	4.464241985760971	-0.3187429888843887	2.2659259595160908	0.12842842643140498	7230
7290000	5062154	22533.85383415222	2.9915008634108786	3.4193278946772034	1.7434588222561131	4.475418779777651	0.1775831745707539	2.3419314381071668	0.12590759338322569	7240
7300001	5069272	22565.262751340866	2.3243688575066255	2.373799811221067	2.0397705398116033	4.474865391598894	-0.12382513275747017	2.352791757083925	0.12262483799958411	7251
7310000	5076374	22596.750237703323	1.695284381976606	1.325265014738371	1.7796450817018117	4.475260536706699	-0.12320579242475284	2.4169281062875916	0.12093556832863253	7260
7320000	5083979	22628.009052991867	2.163593767984398	2.375707404430088	1.8356327072055425	4.474967369754691	0.27024290122989947	2.3847162932881063	0.12391602743703273	7270
7330000	5091709	22659.33722448349	1.6600562569367034	1.3256482267738392	1.8159206209435321	4.475045629602063	-0.17947668209528084	2.3409750510245524	0.12328836225481905	7280
7340001	5099578	22690.673414230347	1.6907921917037225	0.2760956582589239	2.0410139968773118	4.475799860636425	-0.17494432350147038	2.352196042144646	0.1210159712233381	7291
7350001	5107458	22722.03794312477	1.6757265502962644	2.326721480334549	1.488005604325091	4.474541238559997	-0.2236450797633649	2.385291796263458	0.12048995111022859	7301
7360000	5115104	22753.313101291656	1.7220306222476396	1.3049897299045587	1.7450061439442561	4.4751729597262555	0.09512120407011582	2.3058840092595454	0.12197715019228798	7310
7370000	5122456	22784.585834026337	2.322433686269921	2.3731536357286194	2.0416702915197944	4.475319692617217	-0.22318869763467064	2.3523553680046567	0.12064974143218077	7320
7380000	5129844	22815.835149526596	2.0830583425155877	2.349417419721823	1.643973371884359	4.474758307833867	-0.048616366487764524	2.4505810733039364	0.11892882490748378	7330
7390000	5137445	22847.12812280655	2.0931331316250086	1.3249260856559275	2.1644319253231172	4.475469570468174	-0.12100069681787548	2.371180197285799	0.1193825040549744	7340
7400000	5145075	22878.531041145325	2.7248645933461075	2.35198744457671	1.7432882828623386	4.47497868592843	-0.22693665789299158	2.2981860695856007	0.1184443090747137	7350
7410001	5152955	22908.998157978058	2.9727385399612043	3.4210777613515955	1.7811970045576995	4.474708945725024	-0.02499297001752803	2.3338340161757136	0.1204847877543484	7361
7420001	5160630	22940.07315301895	1.7311206063400675	1.3013202946611697	1.7353262850176445	4.474973208379827	0.18886841659866105	2.2206331190690225	0.12120726092332024	7371
7430000	5168293	22971.12651991844	3.0034846062118614	2.3753141767733137	1.4164100370229304	4.4754201974020145	0.27480817335587027	2.3257302071675507	0.12051220887001751	7380
7440000	5176188	23002.20920228958	3.182460707119772	4.46466755085029	1.8270033362302287	4.4754498522784525	-0.02450144952179122	2.319853315909888	0.11739031142470638	7390
7450000	5184532	23033.336614847183	2.5301720013244413	3.3954582004838323	2.1509204700655267	4.475484519952254	-0.127205938715859	2.241229889603423	0.11835844043281106	7400
7460000	5192819	23064.424865961075	2.096467557662879	1.326553471734783	2.1616715980960337	4.4752845285686	-0.22717522949519398	2.2199998793900004	0.11825238990373521	7410
7470004	5200408	23095.411576986313	1.4226400324169195	0.22599605589092334	2.109578065119482	4.475234973448506	-0.04760659178079576	2.3356458842516283	0.12021478361709619	7421
7480000	5207419	23126.235989809036	2.303270342964668	2.3754401747174536	2.066942109096629	4.475234973448506	-0.04741089877574246	2.4614238291087993	0.12186018368155815	7430
7490000	5214211	23157.079435110092	1.4445206608165928	1.2990977509771857	1.5450893588336625	4.475148122589397	-0.12488475210014857	2.4770219068400885	0.12319933229308742	7440
7500000	5221057	23188.357953310013	2.339532121977257	2.3730969858706095	1.4521320892635883	4.4754498522784525	-0.024975111605894502	2.410413217686609	0.1293636747175027	7450
7510000	5227808	23219.337962388992	1.2359267341250246	0.2748983795130645	1.8372339988317918	4.475234973448506	-0.04757623197937638	2.397077433704586	0.1319439015232269	7460
7520000	5234613	23250.342736959457	1.9388056091705927	1.326991153550121	1.9461933837738268	4.475418779777651	0.19111384835915327	2.220243205679356	0.13460656442735872	7470
7530001	5241822	23281.461187124252	1.9437255696425064	1.2757720026758816	1.926300587095723	4.47520125581837	0.27059040288177283	2.308708030944047	0.1345347665909743	7481
7540000	5249372	23312.610460281372	2.5710082207974088	2.375348793412965	1.8523071427285702	4.475321478711994	0.19058105445020146	2.352063608500587	0.13536094855159556	7490
7550000	5256793	23343.73396587372	2.299009959615559	2.374382645824248	1.8130983587569767	4.47487753074434	-0.3203556070699263	2.395321532739874	0.13900624316167418	7500
7560001	5263697	23374.77718091011	1.8749563242875005	2.3743345852978246	1.748040155985213	4.47447457779793	-0.12399372090815035	2.37941453676935	0.13711078512888353	7511
7570000	5270261	23405.67688846588	1.6791173428611312	1.299259697467469	1.7849623682304707	4.474748750491145	-0.046955782735471636	2.5063475379155498	0.14238082537166896	7520
7580000	5276723	23436.60398197174	1.068356730529552	0.27325508723498293	1.489429869627321	4.464519294249076	-0.02560059088619045	2.4740075051537973	0.1453315955824407	7530
7590001	5283496	23467.603529691696	1.9043040303694663	1.3247299241810457	1.9798654516941858	4.475484519952254	-0.12548461871115799	2.4494153698912546	0.14100235233421965	7541
7600000	5290570	23498.659405708313	1.885314365897482	2.373374525646152	1.7376102812641077	4.465348647860722	-0.31968279892567314	2.3975036695904177	0.14385579962842215	7550
7610000	5297693	23529.731780290604	1.247292235312081	0.27541066641855977	1.839642142788638	4.4745296896448	-0.171521633922037	2.4310567664201814	0.13837361544139623	7560
